Country/Currency,currency,value,date,Day,Month,Year
Namibia Dollar,NAD,18.137898,1/1/2022,1,1,2022
Nepal Rupee,NPR,135.313403,1/1/2022,1,1,2022
New Zealand Dollar,NZD,1.662009,1/1/2022,1,1,2022
Nicaragua Cordoba Oro,NIO,40.259183,1/1/2022,1,1,2022
Nigeria Naira,NGN,468.447486,1/1/2022,1,1,2022
North Korea Won,KPW,1023.430793,1/1/2022,1,1,2022
Norway Kroner,NOK,10.027286,1/1/2022,1,1,2022
Oman Rial,OMR,0.437796,1/1/2022,1,1,2022
Pakistan Rupee,PKR,202.696598,1/1/2022,1,1,2022
Panama Balboa,PAB,1.137387,1/1/2022,1,1,2022
Papua New Guinea Kina,PGK,4.008481,1/1/2022,1,1,2022
Paraguay Guarani,PYG,7825.297573,1/1/2022,1,1,2022
Peru Nuevo Sol,PEN,4.536646,1/1/2022,1,1,2022
Philippines Peso,PHP,57.994806,1/1/2022,1,1,2022
Poland Zloty,PLN,4.588727,1/1/2022,1,1,2022
Qatar Rial,QAR,4.14039,1/1/2022,1,1,2022
Romania New Lei,RON,4.947838,1/1/2022,1,1,2022
Russia Rouble,RUB,85.04893,1/1/2022,1,1,2022
Rwanda Franc,RWF,1154.202605,1/1/2022,1,1,2022
Samoa Tala,WST,2.956773,1/1/2022,1,1,2022
Sao Tome/Principe Dobra,STD,23536.61439,1/1/2022,1,1,2022
Saudi Arabia Riyal,SAR,4.269042,1/1/2022,1,1,2022
Serbia Dinar,RSD,117.564035,1/1/2022,1,1,2022
Seychelles Rupee,SCR,15.472979,1/1/2022,1,1,2022
Sierra Leone Leone,SLL,12798.57213,1/1/2022,1,1,2022
Singapore Dollar,SGD,1.533612,1/1/2022,1,1,2022
Solomon Islands Dollar,SBD,9.203967,1/1/2022,1,1,2022
Somali Shilling,SOS,664.093312,1/1/2022,1,1,2022
South Africa Rand,ZAR,18.138658,1/1/2022,1,1,2022
South Korea Won,KRW,1351.929888,1/1/2022,1,1,2022
Sri Lanka Rupee,LKR,230.751407,1/1/2022,1,1,2022
St Helena Pound,SHP,1.566309,1/1/2022,1,1,2022
Sudan Pound,SDG,497.505305,1/1/2022,1,1,2022
Suriname Dollar,SRD,23.661765,1/1/2022,1,1,2022
Swaziland Lilangeni,SZL,18.13789,1/1/2022,1,1,2022
Sweden Krona,SEK,10.291223,1/1/2022,1,1,2022
Syria Pound,SYP,2857.069671,1/1/2022,1,1,2022
Taiwan Dollar,TWD,31.518378,1/1/2022,1,1,2022
Tanzania Shilling,TZS,2622.257729,1/1/2022,1,1,2022
Thailand Baht,THB,37.747586,1/1/2022,1,1,2022
Tonga Pa'anga,TOP,2.586555,1/1/2022,1,1,2022
Trinidad/Tobago Dollar,TTD,7.725487,1/1/2022,1,1,2022
Tunisia Dinar,TND,3.270207,1/1/2022,1,1,2022
Turkish New Lira,TRY,15.148032,1/1/2022,1,1,2022
Uganda Shilling,UGX,4031.995186,1/1/2022,1,1,2022
Ukraine Hryvnia,UAH,31.030458,1/1/2022,1,1,2022
Uruguay Peso,UYU,50.746114,1/1/2022,1,1,2022
United Arab Emirates Dirham,AED,4.176782,1/1/2022,1,1,2022
Vanuatu Vatu,VUV,128.784736,1/1/2022,1,1,2022
Vietnam Dong,VND,25989.45866,1/1/2022,1,1,2022
Yemen Rial,YER,284.571056,1/1/2022,1,1,2022
Zambia Kwacha,ZMK,10235.67748,1/1/2022,1,1,2022
Australia Dollar,AUD,1.564485,2/1/2022,2,1,2022
Great Britain Pound,GBP,0.840369,2/1/2022,2,1,2022
Euro,EUR,1,2/1/2022,2,1,2022
Japan Yen,JPY,130.89458,2/1/2022,2,1,2022
Switzerland Franc,CHF,1.03674,2/1/2022,2,1,2022
USA Dollar,USD,1.137145,2/1/2022,2,1,2022
Afghanistan Afghani,AFN,117.979297,2/1/2022,2,1,2022
Albania Lek,ALL,121.277018,2/1/2022,2,1,2022
Algeria Dinar,DZD,157.842186,2/1/2022,2,1,2022
Angola Kwanza,AOA,626.101357,2/1/2022,2,1,2022
Argentina Peso,ARS,116.773434,2/1/2022,2,1,2022
Armenia Dram,AMD,546.096265,2/1/2022,2,1,2022
Aruba Florin,AWG,2.046862,2/1/2022,2,1,2022
Azerbaijan New Manat,AZN,1.937662,2/1/2022,2,1,2022
Bahamas Dollar,BSD,1.137387,2/1/2022,2,1,2022
Bahrain Dinar,BHD,0.428655,2/1/2022,2,1,2022
Bangladesh Taka,BDT,97.495932,2/1/2022,2,1,2022
Barbados Dollar,BBD,2.296476,2/1/2022,2,1,2022
Belarus Ruble,BYR,22288.05031,2/1/2022,2,1,2022
Belize Dollar,BZD,2.292658,2/1/2022,2,1,2022
Bermuda Dollar,BMD,1.137145,2/1/2022,2,1,2022
Bhutan Ngultrum,BTN,84.571125,2/1/2022,2,1,2022
Bolivia Boliviano,BOB,7.842413,2/1/2022,2,1,2022
Bosnia Mark,BAM,1.965137,2/1/2022,2,1,2022
Botswana Pula,BWP,13.373034,2/1/2022,2,1,2022
Brazil Real,BRL,6.335383,2/1/2022,2,1,2022
Brunei Dollar,BND,1.535298,2/1/2022,2,1,2022
Bulgaria Lev,BGN,1.953969,2/1/2022,2,1,2022
Burundi Franc,BIF,2278.270857,2/1/2022,2,1,2022
CFA Franc BCEAO,XOF,658.979869,2/1/2022,2,1,2022
CFA Franc BEAC,XAF,659.089986,2/1/2022,2,1,2022
CFP Franc,XPF,120.367257,2/1/2022,2,1,2022
Cambodia Riel,KHR,4628.182274,2/1/2022,2,1,2022
Canada Dollar,CAD,1.437255,2/1/2022,2,1,2022
Cape Verde Escudo,CVE,110.587841,2/1/2022,2,1,2022
Cayman Islands Dollar,KYD,0.947789,2/1/2022,2,1,2022
Chili Peso,CLP,968.848312,2/1/2022,2,1,2022
China Yuan/Renminbi,CNY,7.227587,2/1/2022,2,1,2022
Colombia Peso,COP,4622.871406,2/1/2022,2,1,2022
Comoros Franc,KMF,494.516161,2/1/2022,2,1,2022
Congo Franc,CDF,2277.138169,2/1/2022,2,1,2022
Costa Rica Colon,CRC,730.147918,2/1/2022,2,1,2022
Croatia Kuna,HRK,7.516973,2/1/2022,2,1,2022
Cuba Convertible Peso,CUC,1.137145,2/1/2022,2,1,2022
Cuba Peso,CUP,30.134354,2/1/2022,2,1,2022
Czech Koruna,CZK,24.871929,2/1/2022,2,1,2022
Denmark Krone,DKK,7.435897,2/1/2022,2,1,2022
Djibouti Franc,DJF,202.093932,2/1/2022,2,1,2022
Dominican Republich Peso,DOP,65.243765,2/1/2022,2,1,2022
East Caribbean Dollar,XCD,3.073193,2/1/2022,2,1,2022
Egypt Pound,EGP,17.864285,2/1/2022,2,1,2022
El Salvador Colon,SVC,9.952132,2/1/2022,2,1,2022
Ethiopia Birr,ETB,55.891143,2/1/2022,2,1,2022
Falkland Islands Pound,FKP,0.857839,2/1/2022,2,1,2022
Fiji Dollar,FJD,2.41587,2/1/2022,2,1,2022
Gambia Dalasi,GMD,59.984864,2/1/2022,2,1,2022
Georgia Lari,GEL,3.519511,2/1/2022,2,1,2022
Ghana New Cedi,GHS,6.993888,2/1/2022,2,1,2022
Gibraltar Pound,GIP,0.857839,2/1/2022,2,1,2022
Guatemala Quetzal,GTQ,8.77767,2/1/2022,2,1,2022
Guinea Franc,GNF,10603.88148,2/1/2022,2,1,2022
Guyana Dollar,GYD,237.84642,2/1/2022,2,1,2022
Haiti Gourde,HTG,114.046113,2/1/2022,2,1,2022
Honduras Lempira,HNL,27.750716,2/1/2022,2,1,2022
Hong Kong Dollar,HKD,8.865304,2/1/2022,2,1,2022
Hungary Forint,HUF,369.242932,2/1/2022,2,1,2022
Iceland Krona,ISK,147.590544,2/1/2022,2,1,2022
India Rupee,INR,84.733311,2/1/2022,2,1,2022
Indonesia Rupiah,IDR,16195.22513,2/1/2022,2,1,2022
Iran Rial,IRR,48072.82319,2/1/2022,2,1,2022
Iraq Dinar,IQD,1660.232319,2/1/2022,2,1,2022
Israel New Shekel,ILS,3.53953,2/1/2022,2,1,2022
Jamaica Dollar,JMD,175.116336,2/1/2022,2,1,2022
Jordan Dinar,JOD,0.806468,2/1/2022,2,1,2022
Kazakhstan Tenge,KZT,494.763156,2/1/2022,2,1,2022
Kenya Shilling,KES,128.668442,2/1/2022,2,1,2022
Kuwait Dinar,KWD,0.34401,2/1/2022,2,1,2022
Kyrgyzstan Som,KGS,96.434255,2/1/2022,2,1,2022
Laos Kip,LAK,12718.97196,2/1/2022,2,1,2022
Lebanon Pound,LBP,1720.501423,2/1/2022,2,1,2022
Lesotho Loti,LSL,18.137903,2/1/2022,2,1,2022
Liberia Dollar,LRD,165.028274,2/1/2022,2,1,2022
Libya Dinar,LYD,5.23515,2/1/2022,2,1,2022
Macau Pataca,MOP,9.136089,2/1/2022,2,1,2022
Macedonia Denar,MKD,61.922417,2/1/2022,2,1,2022
Malagasy Ariary,MGA,4508.782,2/1/2022,2,1,2022
Malawi Kwacha,MWK,925.636767,2/1/2022,2,1,2022
Malaysia Ringgit,MYR,4.749292,2/1/2022,2,1,2022
Maldives Rufiyaa,MVR,17.516294,2/1/2022,2,1,2022
Mauritania Ouguiya,MRO,405.960721,2/1/2022,2,1,2022
Mauritius Rupee,MUR,49.57634,2/1/2022,2,1,2022
Mexico Peso,MXN,23.308415,2/1/2022,2,1,2022
Moldova Leu,MDL,20.240156,2/1/2022,2,1,2022
Mongolia Tugrik,MNT,3250.399028,2/1/2022,2,1,2022
Morocco Dirham,MAD,10.553142,2/1/2022,2,1,2022
Mozambique New Metical,MZN,72.584422,2/1/2022,2,1,2022
Myanmar Kyat,MMK,2022.309337,2/1/2022,2,1,2022
NL Antilles Guilder,ANG,2.049808,2/1/2022,2,1,2022
Namibia Dollar,NAD,18.137898,2/1/2022,2,1,2022
Nepal Rupee,NPR,135.313403,2/1/2022,2,1,2022
New Zealand Dollar,NZD,1.662009,2/1/2022,2,1,2022
Nicaragua Cordoba Oro,NIO,40.259183,2/1/2022,2,1,2022
Nigeria Naira,NGN,468.447486,2/1/2022,2,1,2022
North Korea Won,KPW,1023.430793,2/1/2022,2,1,2022
Norway Kroner,NOK,10.027286,2/1/2022,2,1,2022
Oman Rial,OMR,0.437796,2/1/2022,2,1,2022
Pakistan Rupee,PKR,202.696598,2/1/2022,2,1,2022
Panama Balboa,PAB,1.137387,2/1/2022,2,1,2022
Papua New Guinea Kina,PGK,4.008481,2/1/2022,2,1,2022
Paraguay Guarani,PYG,7825.297573,2/1/2022,2,1,2022
Peru Nuevo Sol,PEN,4.536646,2/1/2022,2,1,2022
Philippines Peso,PHP,57.994806,2/1/2022,2,1,2022
Poland Zloty,PLN,4.588727,2/1/2022,2,1,2022
Qatar Rial,QAR,4.14039,2/1/2022,2,1,2022
Romania New Lei,RON,4.947838,2/1/2022,2,1,2022
Russia Rouble,RUB,85.04893,2/1/2022,2,1,2022
Rwanda Franc,RWF,1154.202605,2/1/2022,2,1,2022
Samoa Tala,WST,2.956773,2/1/2022,2,1,2022
Sao Tome/Principe Dobra,STD,23536.61439,2/1/2022,2,1,2022
Saudi Arabia Riyal,SAR,4.269042,2/1/2022,2,1,2022
Serbia Dinar,RSD,117.564035,2/1/2022,2,1,2022
Seychelles Rupee,SCR,15.472979,2/1/2022,2,1,2022
